type,name,year,asset_id,title,artist
10_year,"Legendary 90's Hit ""I Got 5 On It""",,5034,35.0,
life_of_rights,Indie Trap Producer NOIXES,,5072,25.0,
life_of_rights,Independent Dark Pop from Simon Curtis - Songwriter Royalties,,5047,34.0,
life_of_rights,"Rita Ora's ""New Look"" & More - Songwriter Royalties",,4138,5.0,
life_of_rights,"Janet Jackson - ""Let's Wait Awhile"" Publishing Royalties",,5055,2.0,
life_of_rights,"Migos, Kevin Gates + More Publishing Royalties",,5041,32.0,
life_of_rights,"""Bags"" by Kevin Gates - Producer Royalties",,4631,2.0,
30_year,Rob Curly Songwriter Royalties,,5042,49.0,
life_of_rights,Post Malone & Travis Scott: Streaming-Driven Hip-Hop,,4035,94.0,
life_of_rights,Publishing Royalties from Electronic Pop Catalog,,4958,68.0,
life_of_rights,"""Save The Best For Last"" By Vanessa Williams",,4599,73.0,
partial_10_year,Asset #2840,,2840,402.0,
partial_10_year,Rock Royalties from Evans Blue,,3115,66.0,
30_year,"Usher's ""Bad Girl"" - Songwriter Royalties",,5010,3.0,
30_year,Songwriter Royalties from Rock Band Redlight King,,4131,9.0,
life_of_rights,"Tracks from Machine Gun Kelly's ""Bloom""",,4034,3.0,
life_of_rights,Songwriter Royalties from 2Floody,,4965,11.0,
life_of_rights,"""What's Poppin"" by Jack Harlow - Songwriter Royalties",,5031,2.0,
life_of_rights,"Publishing Royalties ft. TobyMac, Cain, Building 429+ More",,5012,37.0,
life_of_rights,Publishing Royalties from DJ Todd Terry,,4790,249.0,
life_of_rights,Tory Lanez and EarthGang - Songwriter Royalties,,4753,17.0,
life_of_rights,"""Something About You"" by Hayden James - Publishing Royalties",,4956,2.0,
life_of_rights,"Music From Real Housewives, Below Deck, + More Reality TV",,5016,824.0,
life_of_rights,Blues from Joe Bonamassa and Eric Gales - Publishing Royalties,,5013,24.0,
30_year,Jaden & Miley Cyrus - Streaming-Heavy Catalog,,4295,38.0,
life_of_rights,"Modern Pop from Jukebox the Ghost, Sheppard, The Vamps and More",,4974,52.0,
life_of_rights,Blues from Joe Bonamassa and Eric Gales,,5003,5.0,
10_year,"Songwriter Royalties featuring Big Sean, grouptherapy, Snoh Aalegra, and Rejjie Snow",,4997,9.0,
10_year,Zayn and More - Publishing Performance Royalties,,5001,14.0,
10_year,R&B and Hip-Hop Songwriter Royalties featuring Zayn and More,,5002,14.0,
life_of_rights,"""Bougie"" by Lil Durk ft. Meek Mill - Publishing Royalties",,4989,16.0,
30_year,"""Playinwitme"" by KYLE ft. Kehlani - Songwriter Royalties",,4984,2.0,
30_year,"""Footsteps"" by Kehlani ft. Musiq Soulchild - Songwriter Royalties",,4985,2.0,
life_of_rights,Established Alt-Rock: Featuring Anarbor,,3815,52.0,
10_year,Modern Metal from Atreyu featuring Travis Barker and More,,4980,25.0,
life_of_rights,"TobyMac, Building 429, Cain, + More - Songwriter Royalties",,4983,20.0,
life_of_rights,"""Love"" by We Are Messengers",,4641,3.0,
life_of_rights,"""Brand New"" by Ben Rector + More - Publishing Royalties",,4961,42.0,
